width,height,loadLatency,streamBandwidth,estimatedBandwidth,decodedFrames,droppedFrames,bufferingTime,playTime,pauseTime,manifestTimeSeconds,corruptedFrames,rtt,rto
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,133,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,141,0,0,5,2,0,0,17,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,149,0,0,5,2,0,0,11,200
854,480,105,3077,0,157,0,0,5,2,0,0,24,200
854,480,105,3077,0,157,0,0,5,2,0,0,24,200
854,480,105,3077,0,157,0,0,5,2,0,0,24,200
854,480,105,3077,0,157,0,0,5,2,0,0,24,200
854,480,105,3077,0,157,0,0,5,2,0,0,24,200
854,480,105,3077,0,157,0,0,5,2,0,0,24,200
854,480,105,3077,0,157,0,0,5,2,0,0,24,200
854,480,105,3077,0,157,0,0,5,2,0,0,24,200
